COMPANY,ITEM ID,ITEM DESCRIPTION,CATEGORY,UOM (C),UNIT COST (C),ITEM TYPE
MO,31003,"95# C1S Roll Stock 54"" x 1250'",Text Paper-Coated,LNFT, $ 0.19 ,Inventory
MO,31004,"95# C1S Roll Stock 60"" x 1250'",Text Paper-Coated,LNFT, $ 0.25 ,Inventory
MO,31200,"Vinyl, Adhesive, Busmark 5800, 62""x 300'",Lo-Tack Vinyl,LNFT, $ 1.56 ,Inventory
MO,31451,"Mounting Adhesive, Hi Tack, Clear 61"" x 150'",Adhesives,LNFT, $ 2.23 ,Inventory
MO,41000,"Corrugate, 200# B, K 2/S, 80"" x 115""",Corrugated,Sheet, $ 8.50 ,Inventory
MO,41001,"Corrugate, 200# E, Black 1/S, 80"" x 115""",Corrugated,Sheet, $ 12.50 ,Inventory
MO,41002,"Corrugate, 200# B, #3 White 1/S, 80"" x 115""",Corrugated,Sheet, $ 9.70 ,Inventory
MO,41003,"Corrugate, 275# C, K 2/S, 70"" x 80'",Corrugated,Sheet, $ 7.65 ,Inventory
MO,41005,"Corrugate, 200# B, Black 1/S, 80"" x 115""",Corrugated,Sheet, $ 12.50 ,Inventory
MO,41006,"Corrugate, 200# E, White 1/S, 80"" x 115""",Corrugated,Sheet, $ 10.00 ,Inventory
MO,41007,"Corrugate, 200# B, K 2/S, 65"" x 85""",Corrugated,Sheet, $ 5.00 ,Inventory
MO,41008,"Corrugate, 200# B, K 2/S, 85"" x 65""",Corrugated,Sheet, $ 5.15 ,Inventory
MO,41009,"Corrugate, 200# B/C, D/W K , 80"" x 115""",Corrugated,Sheet, $ 13.15 ,Inventory
MO,41010,"Corrugate, 200# E, Black 1/S, 65"" x 85""",Corrugated,Sheet, $ 7.50 ,Inventory
MO,41011,"Corrugate, 200# B, #3 White 1/S, 65"" x 85""",Corrugated,Sheet, $ 6.20 ,Inventory
MO,41012,"Corrugate, 200# E, #3 White 1/S, 65"" x 85""",Corrugated,Sheet, $ 6.35 ,Inventory
MO,41013,"Corrugate, 200# B, Black 1/S, 65"" x 85""",Corrugated,Sheet, $ 7.40 ,Inventory
MO,73214,"Pallet, 82"" x 60""",Wood Pallets,Each, $ 125.00 ,Inventory
